asset,exchange,timestamp,open,high,low,close,volume
TCS,NSE,2026-07-15 08:30:00+00:00,2195.2,2199.1,2191.1,2193.6,158106
TCS,NSE,2026-07-15 08:45:00+00:00,2193.6,2195.9,2191.6,2193.8,97292
TCS,NSE,2026-07-15 09:00:00+00:00,2193.8,2198.4,2192.2,2197.0,111653
TCS,NSE,2026-07-15 09:15:00+00:00,2197.0,2197.5,2188.2,2188.4,168658
TCS,NSE,2026-07-15 09:30:00+00:00,2188.4,2193.6,2187.0,2188.1,564134
TCS,NSE,2026-07-15 09:45:00+00:00,2188.1,2190.4,2182.0,2187.0,337154
TCS,NSE,2026-07-16 03:45:00+00:00,2206.0,2221.3,2195.0,2203.7,414693
TCS,NSE,2026-07-16 04:00:00+00:00,2203.3,2204.8,2193.9,2200.8,244571
TCS,NSE,2026-07-16 04:15:00+00:00,2201.0,2211.6,2187.8,2206.1,320824
TCS,NSE,2026-07-16 04:30:00+00:00,2206.7,2214.0,2201.0,2207.7,220838
TCS,NSE,2026-07-16 04:45:00+00:00,2207.7,2213.5,2205.1,2210.3,183819
TCS,NSE,2026-07-16 05:00:00+00:00,2210.2,2216.5,2209.0,2209.7,157985
TCS,NSE,2026-07-16 05:15:00+00:00,2210.0,2216.5,2209.8,2212.6,162731
TCS,NSE,2026-07-16 05:30:00+00:00,2212.6,2217.7,2212.5,2215.1,305361
TCS,NSE,2026-07-16 05:45:00+00:00,2215.0,2218.0,2211.4,2217.0,297383
TCS,NSE,2026-07-16 06:00:00+00:00,2216.8,2217.5,2215.0,2216.0,87104
TCS,NSE,2026-07-16 06:15:00+00:00,2216.2,2229.0,2215.0,2228.6,444228
TCS,NSE,2026-07-16 06:30:00+00:00,2228.6,2231.4,2216.6,2220.0,434103
TCS,NSE,2026-07-16 06:45:00+00:00,2219.9,2227.0,2218.0,2225.5,141733
TCS,NSE,2026-07-16 07:00:00+00:00,2225.6,2227.7,2224.7,2225.3,104751
TCS,NSE,2026-07-16 07:15:00+00:00,2225.6,2226.8,2215.0,2216.7,187082
TCS,NSE,2026-07-16 07:30:00+00:00,2216.7,2220.3,2214.6,2216.8,134877
TCS,NSE,2026-07-16 07:45:00+00:00,2217.0,2217.0,2211.1,2213.0,115747
TCS,NSE,2026-07-16 08:00:00+00:00,2213.0,2214.0,2210.0,2211.9,114552
TCS,NSE,2026-07-16 08:15:00+00:00,2211.7,2215.0,2210.1,2214.6,100449
TCS,NSE,2026-07-16 08:30:00+00:00,2214.6,2215.0,2211.3,2213.5,80322
TCS,NSE,2026-07-16 08:45:00+00:00,2213.6,2215.0,2210.6,2213.6,89055
TCS,NSE,2026-07-16 09:00:00+00:00,2213.6,2217.5,2211.2,2213.8,112831
TCS,NSE,2026-07-16 09:15:00+00:00,2214.3,2215.0,2210.4,2211.6,101587
TCS,NSE,2026-07-16 09:30:00+00:00,2211.6,2211.9,2197.4,2198.0,332038
TCS,NSE,2026-07-16 09:45:00+00:00,2198.1,2201.1,2197.0,2199.1,308033
TCS,NSE,2026-07-17 03:45:00+00:00,2224.8,2256.9,2215.1,2232.6,772731
TCS,NSE,2026-07-17 04:00:00+00:00,2233.2,2240.3,2231.0,2237.4,163469
TCS,NSE,2026-07-17 04:15:00+00:00,2238.0,2242.5,2228.0,2233.5,189752
TCS,NSE,2026-07-17 04:30:00+00:00,2233.7,2235.0,2222.8,2229.6,217845
TCS,NSE,2026-07-17 04:45:00+00:00,2230.0,2232.2,2222.7,2224.3,100360
TCS,NSE,2026-07-17 05:00:00+00:00,2224.3,2232.0,2223.5,2230.8,111211
TCS,NSE,2026-07-17 05:15:00+00:00,2230.8,2235.0,2228.0,2234.2,108333
TCS,NSE,2026-07-17 05:30:00+00:00,2234.1,2244.5,2231.3,2240.0,250491
TCS,NSE,2026-07-17 05:45:00+00:00,2240.7,2247.8,2239.7,2244.4,131982
TCS,NSE,2026-07-17 06:00:00+00:00,2245.0,2260.0,2244.4,2251.0,371359
TCS,NSE,2026-07-17 06:15:00+00:00,2251.0,2255.0,2250.0,2254.4,135325
TCS,NSE,2026-07-17 06:30:00+00:00,2255.0,2257.6,2251.9,2255.3,160990
TCS,NSE,2026-07-17 06:45:00+00:00,2255.8,2264.0,2255.0,2260.3,247355
TCS,NSE,2026-07-17 07:00:00+00:00,2260.3,2266.2,2258.6,2266.0,203286
TCS,NSE,2026-07-17 07:15:00+00:00,2265.5,2266.9,2261.1,2266.0,217925
TCS,NSE,2026-07-17 07:30:00+00:00,2266.4,2269.5,2264.4,2269.0,192660
TCS,NSE,2026-07-17 07:45:00+00:00,2269.0,2273.0,2267.0,2271.9,275998
TCS,NSE,2026-07-17 08:00:00+00:00,2272.0,2272.0,2269.2,2271.0,145293
TCS,NSE,2026-07-17 08:15:00+00:00,2271.2,2273.9,2270.0,2270.7,148958
TCS,NSE,2026-07-17 08:30:00+00:00,2270.7,2271.6,2269.4,2270.2,104477
TCS,NSE,2026-07-17 08:45:00+00:00,2270.5,2273.9,2265.5,2267.0,432922
TCS,NSE,2026-07-17 09:00:00+00:00,2267.0,2275.0,2266.1,2271.1,187669
TCS,NSE,2026-07-17 09:15:00+00:00,2271.1,2272.0,2265.8,2266.0,181612
TCS,NSE,2026-07-17 09:30:00+00:00,2265.8,2272.5,2265.8,2271.6,176215
TCS,NSE,2026-07-17 09:45:00+00:00,2271.5,2272.9,2265.0,2266.0,385770
TCS,NSE,2026-07-20 03:45:00+00:00,2280.1,2283.4,2255.5,2260.0,310107
TCS,NSE,2026-07-20 04:00:00+00:00,2259.7,2265.0,2249.0,2263.6,192180
TCS,NSE,2026-07-20 04:15:00+00:00,2263.9,2265.0,2255.6,2259.5,97085
TCS,NSE,2026-07-20 04:30:00+00:00,2259.3,2262.5,2255.0,2256.0,58733
TCS,NSE,2026-07-20 04:45:00+00:00,2256.0,2266.8,2254.0,2260.3,82911
TCS,NSE,2026-07-20 05:00:00+00:00,2260.4,2262.7,2256.9,2258.1,54066
TCS,NSE,2026-07-20 05:15:00+00:00,2258.1,2260.5,2256.1,2260.1,53203
TCS,NSE,2026-07-20 05:30:00+00:00,2260.1,2262.0,2257.0,2259.0,27654
